run_id,seed,scenario_name,attack_type,success,stealth,qber,true_qber,stolen_key_bits,key_compromised,detected,sifted_key_length,secure_key_length,eve_information,agent_messages,handoffs_attempted,handoffs_successful,llm_calls,wall_time_sec,crashed,crash_reason,timestamp
intercept__0000,550,intercept_resend,intercept_resend,False,False,0.137908,0.137908,0,False,True,174,2048,144,0,0,0,0,0.1254138946533203,False,,2026-07-31T14:40:26.034263+00:00
intercept__0001,1550,intercept_resend,intercept_resend,False,False,0.139546,0.139546,0,False,True,156,2048,145,0,0,0,0,0.15118718147277832,False,,2026-07-31T14:40:26.185450+00:00
intercept__0002,2550,intercept_resend,intercept_resend,False,False,0.146844,0.146844,0,False,True,182,2048,150,0,0,0,0,0.11186432838439941,False,,2026-07-31T14:40:26.298314+00:00
intercept__0003,3550,intercept_resend,intercept_resend,False,False,0.161223,0.161223,0,False,True,177,2048,159,0,0,0,0,0.1196749210357666,False,,2026-07-31T14:40:26.417989+00:00
intercept__0004,4550,intercept_resend,intercept_resend,False,False,0.16732,0.16732,0,False,True,186,2048,162,0,0,0,0,0.11427783966064453,False,,2026-07-31T14:40:26.532267+00:00
intercept__0005,5550,intercept_resend,intercept_resend,False,False,0.112957,0.112957,0,False,True,194,2048,127,0,0,0,0,0.11346292495727539,False,,2026-07-31T14:40:26.645730+00:00
intercept__0006,6550,intercept_resend,intercept_resend,False,False,0.154455,0.154455,0,False,True,172,2048,155,0,0,0,0,0.11200189590454102,False,,2026-07-31T14:40:26.757732+00:00
intercept__0007,7550,intercept_resend,intercept_resend,False,False,0.160206,0.160206,0,False,True,158,2048,158,0,0,0,0,0.14992976188659668,False,,2026-07-31T14:40:26.907662+00:00
intercept__0008,8550,intercept_resend,intercept_resend,True,True,0.107926,0.107926,123,True,False,203,2048,123,0,0,0,0,0.1117396354675293,False,,2026-07-31T14:40:27.019401+00:00
intercept__0009,9550,intercept_resend,intercept_resend,False,False,0.152042,0.152042,0,False,True,169,2048,153,0,0,0,0,0.12067937850952148,False,,2026-07-31T14:40:27.140081+00:00
intercept__0010,10550,intercept_resend,intercept_resend,True,True,0.064981,0.064981,86,True,False,172,2048,86,0,0,0,0,0.11266231536865234,False,,2026-07-31T14:40:27.252743+00:00
intercept__0011,11550,intercept_resend,intercept_resend,False,False,0.121667,0.121667,0,False,True,163,2048,133,0,0,0,0,0.11651444435119629,False,,2026-07-31T14:40:27.369257+00:00
intercept__0012,12550,intercept_resend,intercept_resend,True,True,0.071324,0.071324,92,True,False,203,2048,92,0,0,0,0,0.11844944953918457,False,,2026-07-31T14:40:27.487707+00:00
intercept__0013,13550,intercept_resend,intercept_resend,True,True,0.104644,0.104644,120,True,False,157,2048,120,0,0,0,0,0.11591529846191406,False,,2026-07-31T14:40:27.603622+00:00
intercept__0014,14550,intercept_resend,intercept_resend,False,False,0.133394,0.133394,0,False,True,200,2048,141,0,0,0,0,0.14017415046691895,False,,2026-07-31T14:40:27.743796+00:00
intercept__0015,15550,intercept_resend,intercept_resend,False,False,0.13523,0.13523,0,False,True,166,2048,142,0,0,0,0,0.11708760261535645,False,,2026-07-31T14:40:27.860884+00:00
intercept__0016,16550,intercept_resend,intercept_resend,False,False,0.111902,0.111902,0,False,True,178,2048,126,0,0,0,0,0.11181092262268066,False,,2026-07-31T14:40:27.972695+00:00
intercept__0017,17550,intercept_resend,intercept_resend,True,True,0.104154,0.104154,120,True,False,198,2048,120,0,0,0,0,0.11233329772949219,False,,2026-07-31T14:40:28.085028+00:00
intercept__0018,18550,intercept_resend,intercept_resend,True,True,0.097059,0.097059,114,True,False,178,2048,114,0,0,0,0,0.11006331443786621,False,,2026-07-31T14:40:28.195091+00:00
intercept__0019,19550,intercept_resend,intercept_resend,False,False,0.157661,0.157661,0,False,True,158,2048,157,0,0,0,0,0.1115725040435791,False,,2026-07-31T14:40:28.306664+00:00
intercept__0020,20550,intercept_resend,intercept_resend,False,False,0.183011,0.183011,0,False,True,167,2048,171,0,0,0,0,0.1395564079284668,False,,2026-07-31T14:40:28.447270+00:00
intercept__0021,21550,intercept_resend,intercept_resend,True,True,0.079085,0.079085,99,True,False,178,2048,99,0,0,0,0,0.11822175979614258,False,,2026-07-31T14:40:28.565492+00:00
intercept__0022,22550,intercept_resend,intercept_resend,False,False,0.145879,0.145879,0,False,True,193,2048,149,0,0,0,0,0.11176729202270508,False,,2026-07-31T14:40:28.677259+00:00
intercept__0023,23550,intercept_resend,intercept_resend,False,False,0.200344,0.200344,0,False,True,179,2048,180,0,0,0,0,0.11911439895629883,False,,2026-07-31T14:40:28.796374+00:00
intercept__0024,24550,intercept_resend,intercept_resend,True,True,0.0975,0.0975,115,True,False,187,2048,115,0,0,0,0,0.10964822769165039,False,,2026-07-31T14:40:28.906022+00:00
intercept__0025,25550,intercept_resend,intercept_resend,False,False,0.136318,0.136318,0,False,True,164,2048,143,0,0,0,0,0.11506152153015137,False,,2026-07-31T14:40:29.021951+00:00
intercept__0026,26550,intercept_resend,intercept_resend,True,True,0.095265,0.095265,113,True,False,160,2048,113,0,0,0,0,0.14234209060668945,False,,2026-07-31T14:40:29.164293+00:00
intercept__0027,27550,intercept_resend,intercept_resend,True,True,0.104641,0.104641,120,True,False,185,2048,120,0,0,0,0,0.11217308044433594,False,,2026-07-31T14:40:29.276466+00:00
intercept__0028,28550,intercept_resend,intercept_resend,True,True,0.094206,0.094206,112,True,False,191,2048,112,0,0,0,0,0.11163139343261719,False,,2026-07-31T14:40:29.388097+00:00
intercept__0029,29550,intercept_resend,intercept_resend,False,False,0.18799,0.18799,0,False,True,182,2048,174,0,0,0,0,0.11824369430541992,False,,2026-07-31T14:40:29.506341+00:00
intercept__0030,30550,intercept_resend,intercept_resend,False,False,0.178366,0.178366,0,False,True,177,2048,169,0,0,0,0,0.11046671867370605,False,,2026-07-31T14:40:29.616808+00:00
intercept__0031,31550,intercept_resend,intercept_resend,False,False,0.111863,0.111863,0,False,True,164,2048,126,0,0,0,0,0.11247086524963379,False,,2026-07-31T14:40:29.729278+00:00
intercept__0032,32550,intercept_resend,intercept_resend,False,False,0.137255,0.137255,0,False,True,182,2048,144,0,0,0,0,0.14447617530822754,False,,2026-07-31T14:40:29.873755+00:00
intercept__0033,33550,intercept_resend,intercept_resend,True,True,0.076608,0.076608,97,True,False,190,2048,97,0,0,0,0,0.11269307136535645,False,,2026-07-31T14:40:29.986448+00:00
intercept__0034,34550,intercept_resend,intercept_resend,False,False,0.167105,0.167105,0,False,True,197,2048,162,0,0,0,0,0.11139106750488281,False,,2026-07-31T14:40:30.097839+00:00
intercept__0035,35550,intercept_resend,intercept_resend,True,True,0.091667,0.091667,110,True,False,187,2048,110,0,0,0,0,0.10986924171447754,False,,2026-07-31T14:40:30.207708+00:00
intercept__0036,36550,intercept_resend,intercept_resend,True,True,0.090334,0.090334,109,True,False,159,2048,109,0,0,0,0,0.11143255233764648,False,,2026-07-31T14:40:30.320236+00:00
intercept__0037,37550,intercept_resend,intercept_resend,False,False,0.182549,0.182549,0,False,True,156,2048,171,0,0,0,0,0.11513900756835938,False,,2026-07-31T14:40:30.435375+00:00
intercept__0038,38550,intercept_resend,intercept_resend,False,False,0.156213,0.156213,0,False,True,182,2048,156,0,0,0,0,0.14455604553222656,False,,2026-07-31T14:40:30.579931+00:00
intercept__0039,39550,intercept_resend,intercept_resend,False,False,0.115686,0.115686,0,False,True,177,2048,129,0,0,0,0,0.11513495445251465,False,,2026-07-31T14:40:30.695066+00:00
intercept__0040,40550,intercept_resend,intercept_resend,False,False,0.112418,0.112418,0,False,True,186,2048,126,0,0,0,0,0.11250519752502441,False,,2026-07-31T14:40:30.807571+00:00
intercept__0041,41550,intercept_resend,intercept_resend,True,True,0.103801,0.103801,120,True,False,156,2048,120,0,0,0,0,0.12050557136535645,False,,2026-07-31T14:40:30.928077+00:00
intercept__0042,42550,intercept_resend,intercept_resend,True,True,0.103569,0.103569,120,True,False,177,2048,120,0,0,0,0,0.1120750904083252,False,,2026-07-31T14:40:31.040152+00:00
intercept__0043,43550,intercept_resend,intercept_resend,False,False,0.119641,0.119641,0,False,True,181,2048,132,0,0,0,0,0.11650633811950684,False,,2026-07-31T14:40:31.156658+00:00
intercept__0044,44550,intercept_resend,intercept_resend,False,False,0.14085,0.14085,0,False,True,181,2048,146,0,0,0,0,0.11233282089233398,False,,2026-07-31T14:40:31.268991+00:00
intercept__0045,45550,intercept_resend,intercept_resend,False,False,0.144853,0.144853,0,False,True,170,2048,149,0,0,0,0,0.14512896537780762,False,,2026-07-31T14:40:31.414120+00:00
intercept__0046,46550,intercept_resend,intercept_resend,False,False,0.142497,0.142497,0,False,True,185,2048,147,0,0,0,0,0.11299681663513184,False,,2026-07-31T14:40:31.527117+00:00
intercept__0047,47550,intercept_resend,intercept_resend,False,False,0.147712,0.147712,0,False,True,172,2048,151,0,0,0,0,0.11698770523071289,False,,2026-07-31T14:40:31.644105+00:00
